Название_вещи;Цена в рублях;Дата
"PREMIUM Подушка 50х70 для сна Анатомическая Эвкалипт Vosne 50 на 70 гипоаллергенная 50*70 прямоугольная эвкалиптовое волокно";1978;"2025-05-26T14:33:50.425871"
"PREMIUM Подушка 50х70 для сна Анатомическая Эвкалипт Vosne 50 на 70 гипоаллергенная 50*70 прямоугольная эвкалиптовое волокно";1978;"2025-05-26T14:36:47.129763"
"PREMIUM Подушка 50х70 для сна Анатомическая Эвкалипт Vosne 50 на 70 гипоаллергенная 50*70 прямоугольная эвкалиптовое волокно";1978;"2025-05-26T14:38:49.909310"
"Бейсболка";212;"2025-05-26T20:00:03.471383"
"Бейсболка";212;"2025-05-26T20:05:38.376117"
"Бейсболка";212;"2025-05-26T20:09:28.753821"
"Бейсболка";212;"2025-05-26T20:14:15.037773"
"Бейсболка";212;"2025-05-26T20:16:10.561802"
"Бейсболка";212;"2025-05-26T20:20:36.589141"
"Бейсболка";212;"2025-05-26T20:25:18.443794"
"Бейсболка";212;"2025-05-26T20:26:46.271055"
"Бейсболка";212;"2025-05-26T20:46:24.053762"
"Бейсболка";212;"2025-05-26T20:48:00.824857"
"Бейсболка";212;"2025-05-26T20:50:17.686820"
"Бейсболка";212;"2025-05-26T20:51:21.021553"
"Бейсболка";212;"2025-05-26T20:54:49.729666"
"Бейсболка";212;"2025-05-26T21:06:08.095280"
"Бейсболка";212;"2025-05-26T21:15:56.081302"
